"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-01","-6.274047","54.866408","Ballymoney Street","ASBO","BALLYMENA","30,265"
"2015-01","-5.888415","54.221888","Mourne View Avenue","VISO","NEWCASTLE","7,524"
"2015-02","-6.769659","55.147597","Woodend Park","ASBO","ARTICLAVE","804"
"2015-01","-5.873611","54.697194","Glenkeen Avenue","OTTH","CARRICKFERGUS","28,653"
"2015-01","-6.508942","54.868792","Beechland Park","VISO","PORTGLENONE","1,187"
"2015-01","-5.795292","54.589489","Dunoon Park","VISO","DUNDONALD","16,257"
"2015-02","-6.681540","55.128153","Strathard Close","DRUG","COLERAINE","24,694"
"2015-01","-5.933006","54.587985","Botanic Avenue","ASBO","BELFAST","335,665"
"2015-01","-6.776714","54.504031","Fairmount Park","ASBO","DUNGANNON","15,987"
"2015-02","-5.921608","54.576972","Haywood Avenue","ASBO","BELFAST","335,665"
"2015-01","-5.856241","54.620020","Glendarragh Mews","ASBO","BELFAST","335,665"
"2015-01","-6.184973","54.732986","Bush Road","VISO","ANTRIM","21,896"
"2015-02","-5.889043","54.211988","Downs Road","ASBO","NEWCASTLE","7,524"
"2015-01","-5.716511","54.326375","St. Patricks Avenue","SHOP","CRAIGAVON","17,213"
"2015-02","-5.926248","54.599505","Pottingers Entry","VISO","BELFAST","335,665"
"2015-01","-5.973488","54.608347","West Circular Road","ASBO","BELFAST","335,665"
"2015-02","-6.001962","54.564256","Moor Park Avenue","ASBO","BELFAST","335,665"
"2015-01","-5.935430","54.595116","Glengall Street","CDAR","BELFAST","335,665"
"2015-02","-6.769936","55.146756","Rockmount Gardens","ASBO","ARTICLAVE","804"
"2015-01","-5.972367","54.676937","Antrim Road","OTTH","TEMPLEPATRICK","1,518"
"2015-02","-7.305876","54.599319","John Street","ASBO","OMAGH","21,325"
"2015-01","-5.788617","54.504222","Brae Grove","ASBO","BALLYGOWAN","3,181"
"2015-02","-6.159416","54.238168","Castle Street","BURG","DONAGHADEE","6,926"
"2015-02","-5.853968","54.595253","Hawthornden Road","VECR","BELFAST","335,665"
"2015-01","-5.890038","54.212311","Valentia Place","OTTH","NEWCASTLE","7,524"
"2015-02","-5.937312","54.611150","Kinnaird Terrace","VISO","BELFAST","335,665"
"2015-02","-7.320469","54.996614","Shipquay Street","ASBO","LONDONDERRY","87,269"
"2015-01","-5.930067","54.600182","Rosemary Street","SHOP","BELFAST","335,665"
"2015-02","-6.285868","54.866081","Princes Street","VISO","LURGAN","28,568"
"2015-02","-6.025096","54.556190","Glasvey Park","CDAR","DUNMURRY",NA
"2015-02","-5.716165","54.327636","Market Lane","ASBO","BANGOR","62,789"
"2015-02","-6.449422","54.420062","Jervis Street","ASBO","PORTADOWN","22,611"
"2015-01","-6.001467","54.573421","Conor Rise","VISO","BELFAST","335,665"
"2015-01","-5.832712","54.643196","Stewart'S Place","THPR","HOLYWOOD","12,657"
"2015-02","-5.512031","54.477340","Rubane Road","OTCR","KIRCUBBIN","1,162"
"2015-02","-6.235268","54.483897","Castle Avenue","BURG","RANDALSTOWN","5,127"
"2015-02","-7.751088","54.424839","Lough Shore Road","ASBO","BELLEEK","841"
"2015-02","-7.352517","54.956743","Primity Crescent","OTCR","NEW BUILDINGS",NA
"2015-01","-7.461416","54.817188","Linkside Park","VISO","STRABANE","17,695"
"2015-01","-5.964856","54.602973","Woodvale Avenue","POSW","OMAGH","21,325"
"2015-01","-5.816838","54.867861","Seacourt Road","VISO","LARNE","33,620"
"2015-02","-6.107897","54.580802","Rock Road","VISO","LONDONDERRY","87,269"
"2015-01","-6.108495","54.068581","Newry Road","VECR","BANBRIDGE","14,634"
"2015-01","-6.616758","54.762498","Hospital Road","CDAR","MAGHERAFELT","8,387"
"2015-02","-6.004046","54.551028","Kingsway","ROBY","DUNMURRY",NA
"2015-02","-5.940606","54.661450","Fairyknowe Drive","CDAR","NEWTOWNABBEY","118,261"
"2015-02","-6.277100","54.866407","High Street","VISO","HOLYWOOD","12,657"
"2015-01","-6.767941","54.503681","Castle Gardens","VISO","BELFAST","335,665"
"2015-02","-5.978141","54.580374","Blackstaff Road","OTTH","KIRCUBBIN","1,162"
